Comment,Designator,Footprint,LCSC,Quantity
BQ24070_CHG,U1,BQ24070RHLR,C6514,1
BQ29700_PROT,U2,BQ29700DSER,C183096,1
FS8205A_DMOSFET,Q1,FS8205A_C908265,C908265,1
JST_XH_2.544mm,U4,S2B-XH-A-_LF_SN,C157931,1
TPS63001DRCR,U3,TPS63001DRCR,C28060,1
TYPE-C-31-M-12,USBC1,TYPE-C-31-M-12,C165948,1
10nF,C12,C_0402_1005Metric,,1
100k,R10,R_0402_1005Metric,,1
10uF,C11,C_0402_1005Metric,,1
0.1uF,C9,C_0402_1005Metric,,1
10uF,C10,C_0402_1005Metric,,1
YELLOW,D2,LED_0805_2012Metric,,1
0.1uF,C8,C_0402_1005Metric,,1
50k,R7,R_0603_1608Metric,,1
Conn_01x15_Socket,J2,PinSocket_1x15_P2.54mm_Vertical,,1
0.1uF,C3,C_0402_1005Metric,,1
2.2k,R12,R_0402_1005Metric,,1
2.2uH,L1,L_0603_1608Metric,,1
10uF,C1,C_0402_1005Metric,,1
1k,R5,R_0402_1005Metric,,1
5.1k,R14,R_0402_1005Metric,,1
10k,R9,R_0402_1005Metric,,1
2k,R6,R_0402_1005Metric,,1
0.1uF,C4,C_0402_1005Metric,,1
100k,R8,R_0402_1005Metric,,1
Conn_01x15_Socket,J3,PinSocket_1x15_P2.54mm_Vertical,,1
330,R11,R_0402_1005Metric,,1
RED,D1,LED_0805_2012Metric,,1
5.1k,R13,R_0402_1005Metric,,1
0.1uF,C2,C_0402_1005Metric,,1
33uF,C5,C_0805_2012Metric,,1
1M,R15,R_0402_1005Metric,,1
10uF,C7,C_0402_1005Metric,,1
0.1uF,C6,C_0402_1005Metric,,1
1k,R4,R_0402_1005Metric,,1
