Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,183.4,-109.4,180.0,top
C10,10uF,C_0402_1005Metric,196.31738,-111.094953,-90.0,top
C11,10uF,C_0402_1005Metric,197.37738,-111.094953,-90.0,top
C12,10nF,C_0402_1005Metric,187.41,-102.015,0.0,top
C2,0.1uF,C_0402_1005Metric,183.88,-110.45,180.0,top
C3,0.1uF,C_0402_1005Metric,180.8,-107.52,-90.0,top
C4,0.1uF,C_0402_1005Metric,183.2,-103.2,180.0,top
C5,33uF,C_0805_2012Metric,188.35,-110.0,0.0,top
C6,0.1uF,C_0402_1005Metric,195.66,-105.01,90.0,top
C7,10uF,C_0402_1005Metric,196.72,-104.94,90.0,top
C8,0.1uF,C_0402_1005Metric,197.77,-105.01,90.0,top
C9,0.1uF,C_0402_1005Metric,195.850003,-116.040028,-90.0,top
D1,RED,LED_0805_2012Metric,181.132743,-110.98,0.0,top
D2,YELLOW,LED_0805_2012Metric,181.052743,-113.15,0.0,top
J2,Conn_01x15_Socket,PinSocket_1x15_P2.54mm_Vertical,203.0,-99.04,0.0,top
J3,Conn_01x15_Socket,PinSocket_1x15_P2.54mm_Vertical,177.0,-99.04,0.0,top
L1,2.2uH,L_0603_1608Metric,199.68,-108.05508,-90.0,top
Q1,FS8205A_DMOSFET,FS8205A_C908265,193.030003,-115.330028,180.0,top
R10,100k,R_0402_1005Metric,187.41,-103.265,180.0,top
R11,330,R_0402_1005Metric,197.280003,-116.060028,-90.0,top
R12,2.2k,R_0402_1005Metric,198.530003,-112.090028,90.0,top
R13,5.1k,R_0402_1005Metric,186.552743,-115.0,90.0,top
R14,5.1k,R_0402_1005Metric,184.552743,-115.0,90.0,top
R15,1M,R_0402_1005Metric,188.052743,-115.0,90.0,top
R4,1k,R_0402_1005Metric,183.892743,-111.57,180.0,top
R5,1k,R_0402_1005Metric,183.932743,-112.67,180.0,top
R6,2k,R_0402_1005Metric,187.802743,-107.0,0.0,top
R7,50k,R_0603_1608Metric,185.302743,-102.25,90.0,top
R8,100k,R_0402_1005Metric,182.802743,-102.0,0.0,top
R9,10k,R_0402_1005Metric,187.552743,-104.25,0.0,top
U1,BQ24070_CHG,BQ24070RHLR,184.052743,-106.249949,0.0,top
U2,BQ29700_PROT,BQ29700DSER,196.660003,-113.340028,0.0,top
U3,TPS63001DRCR,TPS63001DRCR,196.692471,-108.055105,180.0,top
U4,JST_XH_2.544mm,S2B-XH-A-_LF_SN,196.329997,-119.8,180.0,top
USBC1,TYPE-C-31-M-12,TYPE-C-31-M-12,184.727622,-119.599047,0.0,top
